                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0859,                 3.2439,                 1.3571,                0.53094,                0.47917,                0.48978,                0.19445,                 1.9356,                 2.4038,                 1.1742,              0.0033128,              0.0033128,              0.0033128
                      2,                 1.9385,                 1.9975,                 1.2614,                0.72344,                0.61001,                0.68014,                0.30632,                  1.805,                  1.529,                 1.2622,              0.0066439,              0.0066439,              0.0066439
                      3,                 1.9686,                 1.6997,                  1.294,                0.66107,                 0.5829,                0.62492,                0.28023,                 1.8703,                 1.4926,                 1.2601,              0.0099728,              0.0099728,              0.0099728
                      4,                 1.9922,                 1.5284,                 1.3237,                0.76493,                0.62405,                 0.6965,                0.30285,                 1.8869,                 1.4679,                 1.3132,              0.0099901,              0.0099901,              0.0099901
                      5,                 1.9943,                 1.4028,                 1.3171,                0.76494,                0.67067,                0.74007,                0.33368,                 1.8726,                 1.2173,                 1.2753,              0.0099868,              0.0099868,              0.0099868
                      6,                  1.926,                 1.2858,                 1.2982,                0.81598,                 0.7059,                0.78616,                0.35507,                 1.7838,                 1.3514,                  1.282,              0.0099835,              0.0099835,              0.0099835
                      7,                 1.8882,                 1.2143,                 1.2933,                0.83968,                0.75119,                0.82388,                 0.3824,                  1.779,                 1.0637,                 1.2617,              0.0099802,              0.0099802,              0.0099802
                      8,                 1.8965,                 1.1678,                 1.2815,                0.81046,                 0.7291,                0.79472,                0.37481,                 1.7624,                 1.2795,                 1.2849,              0.0099769,              0.0099769,              0.0099769
                      9,                 1.8526,                 1.1306,                 1.2727,                0.85216,                0.77803,                0.84472,                0.40569,                 1.7463,                0.99234,                 1.2355,              0.0099736,              0.0099736,              0.0099736
                     10,                 1.8496,                 1.1079,                 1.2653,                0.84643,                0.77041,                0.83575,                0.39478,                 1.7373,                 1.0031,                 1.2637,              0.0099703,              0.0099703,              0.0099703
                     11,                 1.7994,                 1.0613,                 1.2381,                0.82051,                0.74644,                0.81684,                0.39341,                 1.7339,                 1.0149,                 1.2341,               0.009967,               0.009967,               0.009967
                     12,                 1.8256,                 1.0791,                 1.2446,                0.85392,                0.78334,                0.85583,                0.41658,                 1.7116,                0.94816,                 1.2056,              0.0099637,              0.0099637,              0.0099637
                     13,                 1.7919,                 1.0345,                 1.2332,                 0.8542,                0.76818,                0.84618,                0.42059,                 1.7139,                0.96552,                 1.2208,              0.0099604,              0.0099604,              0.0099604
                     14,                  1.786,                 1.0261,                 1.2398,                0.88506,                0.79424,                0.86915,                0.42638,                   1.71,                0.90415,                  1.221,              0.0099571,              0.0099571,              0.0099571
                     15,                 1.8008,                 1.0186,                 1.2327,                0.86205,                0.79983,                0.86361,                0.43178,                 1.6829,                 0.9246,                 1.2243,              0.0099538,              0.0099538,              0.0099538
                     16,                 1.7653,                0.97864,                 1.2218,                0.86594,                0.82192,                0.87046,                 0.4338,                 1.6678,                0.88055,                 1.2087,              0.0099505,              0.0099505,              0.0099505
                     17,                 1.7744,                0.98965,                  1.226,                0.87146,                0.80741,                0.87392,                0.43735,                 1.6734,                0.90659,                 1.1961,              0.0099472,              0.0099472,              0.0099472
                     18,                 1.7657,                0.98138,                 1.2259,                0.83933,                0.77327,                0.84582,                0.42898,                 1.6574,                0.95847,                 1.2017,              0.0099439,              0.0099439,              0.0099439
                     19,                 1.7651,                0.98066,                 1.2173,                 0.8696,                0.79704,                0.86025,                0.42573,                 1.6927,                0.91035,                 1.2103,              0.0099406,              0.0099406,              0.0099406
                     20,                 1.7497,                0.96231,                 1.2143,                0.88314,                0.80962,                0.88148,                0.44358,                 1.6702,                0.86834,                 1.1916,              0.0099373,              0.0099373,              0.0099373
                     21,                 1.7268,                0.95139,                 1.1921,                0.86661,                0.81325,                0.87457,                0.44939,                 1.6477,                0.85302,                 1.1802,               0.009934,               0.009934,               0.009934
                     22,                 1.7445,                0.94576,                 1.2002,                0.87171,                0.81856,                0.87934,                0.45628,                 1.6469,                0.84836,                 1.1795,              0.0099307,              0.0099307,              0.0099307
                     23,                 1.7474,                0.94475,                 1.2022,                0.89377,                0.83496,                0.89524,                 0.4622,                 1.6358,                0.81878,                 1.1724,              0.0099274,              0.0099274,              0.0099274
                     24,                 1.7517,                 0.9491,                 1.2072,                0.89051,                0.83449,                0.88839,                0.46005,                 1.6334,                0.84895,                 1.1811,              0.0099241,              0.0099241,              0.0099241
                     25,                 1.7043,                0.92414,                 1.1879,                0.86661,                0.82052,                0.88094,                0.44894,                 1.6332,                 0.8687,                 1.1704,              0.0099208,              0.0099208,              0.0099208
                     26,                 1.7251,                0.92592,                 1.2015,                 0.8697,                0.81828,                0.88533,                0.45529,                 1.6317,                0.83435,                 1.1722,              0.0099175,              0.0099175,              0.0099175
